Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Northern Ireland,,1994,40.62846639,2.986810348,36.15904542,1.751124165
Northern Ireland,,1995,40.02209976,2.668274282,35.85239237,1.771464892
Northern Ireland,,1996,37.46348489,2.325628067,33.68139567,1.717612264
Northern Ireland,,1997,35.99133206,2.057521072,32.50255153,1.686820482
Northern Ireland,,1998,35.24460224,1.844567785,31.96196943,1.693528314
Northern Ireland,,1999,34.96540492,1.673513742,31.80049918,1.754849031
Northern Ireland,,2000,32.12956437,1.419786134,29.27936355,1.681602515
Northern Ireland,,2001,29.35277738,1.195401644,26.77784041,1.621860948
Northern Ireland,,2002,28.96700529,1.080641472,26.47526617,1.658865875
Northern Ireland,,2003,27.30755377,0.91793135,24.99325905,1.641105434
Northern Ireland,,2004,26.10113376,0.80640178,23.92142222,1.613491086
Northern Ireland,,2005,24.82967213,0.701471524,22.78063872,1.582365401
Northern Ireland,,2006,24.53232458,0.64689545,22.5214741,1.601376487
Northern Ireland,,2007,23.94586886,0.579178898,21.9921138,1.613201459
Northern Ireland,,2008,23.07297056,0.529188941,21.16966566,1.611728904
Northern Ireland,,2009,22.03854453,0.471147545,20.2121169,1.58840804
Northern Ireland,,2010,21.58643751,0.431362076,19.7907892,1.597408567
Northern Ireland,,2011,21.09144208,0.389072832,19.35298018,1.585672608
Northern Ireland,,2012,19.73271135,0.363849157,18.00256878,1.593642354
Northern Ireland,,2013,18.89241576,0.345997993,17.16397045,1.607898456
Northern Ireland,,2014,17.68482642,0.324461805,15.98287918,1.592490805
Northern Ireland,,2015,17.92172547,0.314040978,16.17313005,1.656366803
Northern Ireland,,2016,17.01136309,0.303194372,15.28345157,1.632848376
Northern Ireland,,2017,16.83439317,0.285850561,15.1307555,1.624561159
